word,count,language,type
transparent,18,Objective-C,positive
refresh,619,Python,positive
secure,119,Java,positive
popular,73,JavaScript,positive
progressive,13,C,positive
yay,113,Shell,positive
pretty-print,15,C++,positive
top,94,Objective-C,positive
adaptive,82,Java,positive
interesting,58,Python,positive
dedicated,17,C++,positive
recommendation,17,Python,positive
stabilize,60,Java,positive
prefer,398,JavaScript,positive
trust,82,JavaScript,positive
talent,20,JavaScript,positive
fb-like,23,JavaScript,positive
recover,73,C,positive
fancier,24,Python,positive
bloom,52,Python,positive
clearer,97,Java,positive
woo,157,Objective-C,positive
work-around,40,Java,positive
guarantee,20,Ruby,positive
lightdm-unity-greeter,42,Shell,positive
easy,29,Objective-C,positive
prefer,55,C#,positive
right,69,Objective-C,positive
thank,213,JavaScript,positive
thread-safe,32,Java,positive
recover,43,C#,positive
soft,102,Python,positive
advanced,303,PHP,positive
neat,17,Ruby,positive
autonomous,20,C++,positive
distinction,19,JavaScript,positive
enhances,49,Ruby,positive
joy,12,JavaScript,positive
padding-top,14,PHP,positive
sane,64,Python,positive
successfully,107,Objective-C,positive
precise,57,JavaScript,positive
saver,13,Java,positive
fast,126,PHP,positive
inspire,13,JavaScript,positive
restructuring,63,Shell,positive
protection,44,C++,positive
refreshed,91,Ruby,positive
best,32,C#,positive
quiet,39,Objective-C,positive
streamlined,99,C++,positive
easy,245,Java,positive
thrift,103,Java,positive
enhance,137,Shell,positive
work-in-progress,135,Python,positive
nicer,240,C,positive
usable,11,C,positive
smarter,35,C#,positive
strong,126,Ruby,positive
good,135,Objective-C,positive
approve,44,Ruby,positive
favorite,61,Ruby,positive
leverage,60,JavaScript,positive
nice,105,Shell,positive
convenience,16,C#,positive
victory,39,Java,positive
grand,18,Python,positive
successfully,309,Python,positive
restful,112,Java,positive
favor,82,Ruby,positive
fav,16,Python,positive
smart,103,C++,positive
boost::mpl,40,C++,positive
stylized,27,PHP,positive
clever,15,Python,positive
glowing,17,Java,positive
convenience,59,C++,positive
solid,40,C++,positive
unlimited,33,JavaScript,positive
rich,93,Ruby,positive
eager,32,Java,positive
safe,136,Ruby,positive
appropriate,32,Python,positive
easier,51,C,positive
won,25,JavaScript,positive
stylized,155,JavaScript,positive
re-worked,73,PHP,positive
eager,18,PHP,positive
restructuring,247,Ruby,positive
boost,153,C,positive
like,53,C++,positive
success,59,Objective-C,positive
quiet,73,C++,positive
refined,202,C,positive
stable,375,C,positive
magic,173,Java,positive
awesome,192,Python,positive
bloom,83,C++,positive
distinction,14,Python,positive
ready,182,Shell,positive
renewed,15,PHP,positive
smooth,43,PHP,positive
wow,102,C++,positive
restructured,330,C#,positive
gracefully,65,Java,positive
fine,178,C,positive
stylish,24,Ruby,positive
transparent,37,C++,positive
responsive,237,Python,positive
readable,80,JavaScript,positive
novemberdemo+bft-smart,19,Java,positive
nice,207,C++,positive
clears,51,Java,positive
leading,25,PHP,positive
grand,25,JavaScript,positive
popular,47,PHP,positive
creative,75,JavaScript,positive
hero,75,PHP,positive
approve,76,JavaScript,positive
flourish,13,PHP,positive
supported,86,PHP,positive
perfect,18,C#,positive
harmonize,49,JavaScript,positive
consistent,357,Ruby,positive
rich,55,C++,positive
fun,32,Objective-C,positive
top,127,C++,positive
honor,71,PHP,positive
safe,175,Java,positive
love,68,Ruby,positive
beauty,34,Java,positive
recommendations,22,Python,positive
workable,47,JavaScript,positive
ready,285,Objective-C,positive
available,16,Objective-C,positive
nicer,86,Objective-C,positive
fast-forward,15,C++,positive
feat(grunt,22,JavaScript,positive
stylish,43,JavaScript,positive
top-level,22,Ruby,positive
precise/python,11,Shell,positive
like,142,Python,positive
bravo,120,C++,positive
correctly,166,C#,positive
clarity,25,PHP,positive
robust,62,JavaScript,positive
refine,161,Objective-C,positive
recommendations,31,JavaScript,positive
interesting,14,Ruby,positive
assure,39,JavaScript,positive
wow,58,Shell,positive
restructure,135,Objective-C,positive
protect,41,C#,positive
satisfy,39,Ruby,positive
polished,147,PHP,positive
significant,53,Objective-C,positive
unlimited,12,Python,positive
logical,53,Java,positive
prompt,51,PHP,positive
happy,48,C,positive
finer,29,C,positive
survival,15,JavaScript,positive
enhance,105,C#,positive
clearer,66,C,positive
reliable,29,JavaScript,positive
happy,19,Shell,positive
re-worked,15,Shell,positive
awesome,186,PHP,positive
flexible,51,Python,positive
clean-up,122,Shell,positive
0604|success,15,Ruby,positive
fun,131,Java,positive
swift,34,C,positive
easy,149,C++,positive
convenience,35,C,positive
adjustable,14,C++,positive
free,97,Ruby,positive
useful,102,JavaScript,positive
streamlined,109,PHP,positive
accessible,32,JavaScript,positive
work-ver-3,21,JavaScript,positive
fancy,182,PHP,positive
rectification,66,JavaScript,positive
appropriate,47,JavaScript,positive
work-in-progress,225,JavaScript,positive
works,148,C#,positive
balanced,69,JavaScript,positive
enchant.js,29,JavaScript,positive
chanserv/quiet,25,C,positive
neat,38,Java,positive
excel,12,C,positive
refinement,27,C,positive
useful,103,Ruby,positive
revive,27,Java,positive
complementary,18,C++,positive
beautiful,24,C,positive
dedicated,24,C,positive
free,54,Shell,positive
positive,15,C++,positive
top,69,C#,positive
consistently,105,JavaScript,positive
significant,90,Ruby,positive
protection,19,Ruby,positive
successfully,28,Shell,positive
nicer,62,C#,positive
thank,117,Python,positive
benefits,32,JavaScript,positive
sexy,136,JavaScript,positive
excellent,13,Java,positive
supports,207,Java,positive
ease,50,PHP,positive
simpler,139,Shell,positive
rich,61,PHP,positive
beautify,109,Java,positive
thank,27,C,positive
great,67,C++,positive
convenience,79,Ruby,positive
gracefully,36,C,positive
sane,22,Java,positive
stronger,56,Java,positive
beautiful,65,Java,positive
selective,22,Java,positive
clean-up,117,C#,positive
personalized,102,Ruby,positive
agile,50,Ruby,positive
decent,36,Ruby,positive
restructure,192,Shell,positive
compatible,131,Java,positive
favor,15,Python,positive
victory,65,JavaScript,positive
great,47,C,positive
classic,11,Shell,positive
important,165,Ruby,positive
colorful,15,Ruby,positive
free,33,C#,positive
colorful-home,11,C++,positive
enhance,473,C++,positive
soft,98,JavaScript,positive
affinity,11,C,positive
bless,15,Python,positive
strong,93,JavaScript,positive
smooth,66,Ruby,positive
oasis,11,Java,positive
celebrate,15,Python,positive
advanced,103,C,positive
praise,13,JavaScript,positive
restructuring,56,Objective-C,positive
clarity,62,Ruby,positive
led,44,JavaScript,positive
unity,18,C,positive
easier,88,C++,positive
left/right,35,JavaScript,positive
work-in-progress,35,PHP,positive
warm,14,JavaScript,positive
unity-lens-applications,59,Shell,positive
unity-lens-files,48,Shell,positive
unity-lens-music,66,Shell,positive
thank-you,64,JavaScript,positive
fast-isel,66,C++,positive
relaxed,13,C#,positive
clearer,259,Python,positive
sensible,21,C,positive
restored,231,C#,positive
renewed,28,Python,positive
embolden,12,Ruby,positive
fun????o,20,Shell,positive
responsive,11,Objective-C,positive
feat($q,28,JavaScript,positive
whoa,26,PHP,positive
font-awesome,117,JavaScript,positive
complement,27,JavaScript,positive
clever,14,Ruby,positive
cleared,97,Objective-C,positive
feat(tabs,31,JavaScript,positive
effectively,11,Java,positive
portable,25,Python,positive
reconcile,36,JavaScript,positive
guarantee,27,JavaScript,positive
optimistic,15,Java,positive
lucky,11,Ruby,positive
protocol/unreal,29,C,positive
friendly,110,JavaScript,positive
super,138,C,positive
fun,89,C++,positive
successful,78,PHP,positive
realistic,11,Java,positive
lighter,53,PHP,positive
right-align,11,JavaScript,positive
sweet,30,C++,positive
clears,49,Ruby,positive
safely,21,C++,positive
award,31,JavaScript,positive
enchant,42,C++,positive
cleared,108,C#,positive
renewed,32,Java,positive
ease,18,C++,positive
stylized,97,Ruby,positive
classic,35,C,positive
achievements,20,Python,positive
impress,35,JavaScript,positive
perfect,57,Ruby,positive
solid,49,Python,positive
amazing,12,C#,positive
premier,78,Python,positive
fancy,29,C#,positive
bloom,16,C#,positive
rectification,22,C++,positive
decent,50,Python,positive
re-worked,49,Java,positive
safe,32,C#,positive
clearly,41,Python,positive
precise,21,C,positive
personalized,138,JavaScript,positive
balanced,41,Ruby,positive
feat(android,12,Objective-C,positive
pep-8,29,JavaScript,positive
friendly,64,PHP,positive
cleanly,12,C,positive
lead,36,Ruby,positive
secure,13,C++,positive
refreshing,65,Ruby,positive
top-bar,15,JavaScript,positive
refreshed,26,C#,positive
achievement,74,Java,positive
transparent,222,Java,positive
elegant,13,JavaScript,positive
ftw,11,JavaScript,positive
smoother,189,JavaScript,positive
recovery,68,PHP,positive
welcome,54,C#,positive
fluent,58,PHP,positive
well,100,Shell,positive
enhancement,48,C,positive
modern,24,PHP,positive
safely,72,Python,positive
enlightenment,22,C,positive
hooray,51,Python,positive
supported,31,C#,positive
sane,36,Ruby,positive
logical,87,JavaScript,positive
speedy,31,C,positive
transparent,71,Ruby,positive
re-work,30,PHP,positive
awesome,184,Shell,positive
assure,25,Java,positive
stability,55,C,positive
modern,43,Ruby,positive
cool,68,Objective-C,positive
assure,40,Python,positive
sensible,55,Python,positive
consistently,106,PHP,positive
meaningful,121,JavaScript,positive
well,65,Objective-C,positive
clarity,24,Java,positive
approve,18,Java,positive
advanced,92,Objective-C,positive
qualify,23,Python,positive
fast,73,C#,positive
recommended,47,JavaScript,positive
workable,41,Python,positive
001-led,15,Python,positive
unity,30,Python,positive
stability,59,PHP,positive
fine-tune,23,Python,positive
impress.js,35,JavaScript,positive
adaptive,76,JavaScript,positive
compatible,107,Python,positive
colorful,30,JavaScript,positive
workable,13,Ruby,positive
welcome,64,C++,positive
confidence,14,JavaScript,positive
compact,59,C++,positive
hero,53,C++,positive
safe,88,PHP,positive
respect,31,C#,positive
agile,32,JavaScript,positive
fine-tuning,21,Python,positive
tidy-up,14,C++,positive
robust,43,Python,positive
leverage,28,PHP,positive
consistent,136,C++,positive
supporter,12,Java,positive
accurate,19,C++,positive
mono.debugging.soft,19,C#,positive
flexibility,19,JavaScript,positive
boost::optional,12,C++,positive
charm,24,Java,positive
refreshed,140,Python,positive
won't,53,Java,positive
sane,72,JavaScript,positive
stylized,36,Java,positive
dedicated,46,Java,positive
fine-tuned,42,Java,positive
stabilize,45,PHP,positive
victory,158,C,positive
popular,67,Ruby,positive
important,65,Objective-C,positive
polished,72,C#,positive
feat($resource,46,JavaScript,positive
cleaner,77,C#,positive
supports,84,C#,positive
satisfy,67,JavaScript,positive
polished,38,Shell,positive
snappy,46,C,positive
refinement,26,Shell,positive
simpler,71,C#,positive
fast-export,32,C,positive
enjoy,14,Java,positive
tops,28,Ruby,positive
streamlined,35,Shell,positive
glow,20,C++,positive
awesomeness,17,Python,positive
supporting,73,Objective-C,positive
whoa,38,Python,positive
reliable,17,Java,positive
fortune,21,Ruby,positive
supports,99,PHP,positive
positive,36,JavaScript,positive
reform,15,C++,positive
cleared,154,C,positive
relaxed,76,JavaScript,positive
beautiful,116,JavaScript,positive
won't,28,Ruby,positive
achievements,11,C#,positive
succeeded,16,Python,positive
fresh,43,Objective-C,positive
winner,24,Python,positive
achievement,26,Ruby,positive
simpler,175,PHP,positive
silent,33,C++,positive
refreshing,31,Objective-C,positive
honor,119,JavaScript,positive
win,79,Ruby,positive
freed,13,C++,positive
fairly,18,C++,positive
rectify,17,Python,positive
rectify,27,C,positive
awesome,38,C#,positive
recovery,108,Java,positive
respect,66,Shell,positive
helping,20,Java,positive
awesomeness,44,JavaScript,positive
beauty,22,Ruby,positive
re-work,61,JavaScript,positive
enhance,89,Objective-C,positive
straighten,21,JavaScript,positive
bonus,49,Ruby,positive
quicker,22,Python,positive
excel,88,Python,positive
smarter,136,Java,positive
rectifying,11,Python,positive
shiny,13,C++,positive
ideal,15,PHP,positive
smart,104,PHP,positive
hooray,11,Objective-C,positive
mono.debugger.soft,82,C#,positive
nicer,161,Shell,positive
strong,19,C++,positive
secure,23,Objective-C,positive
soft,72,C++,positive
unbound,25,Ruby,positive
capability,26,JavaScript,positive
achievement,26,C++,positive
stability,49,Python,positive
supported,168,Python,positive
sublime,22,C++,positive
modern,16,Python,positive
fairly,31,Ruby,positive
winning,37,Ruby,positive
feature/soft-delete,104,PHP,positive
lighter,14,C++,positive
flexible,54,Java,positive
ws-trust,24,Java,positive
bloom,27,JavaScript,positive
fun????o,23,Python,positive
complement,49,Java,positive
lighter,36,Java,positive
fun????o,42,JavaScript,positive
balanced,36,C++,positive
savings,12,C++,positive
gracefully,50,PHP,positive
unity,198,Shell,positive
arm-fast-isel,64,C++,positive
reconcile,61,C++,positive
graceful,73,Ruby,positive
honor,88,C++,positive
reasonable,27,Python,positive
brighter,32,JavaScript,positive
favorite,59,PHP,positive
js-beautify,19,JavaScript,positive
quicker,14,Java,positive
streamlined,44,C#,positive
excel,125,Ruby,positive
feat(angular.js,12,JavaScript,positive
smoother,49,C++,positive
amazing,24,Python,positive
advantage,29,PHP,positive
heal,18,JavaScript,positive
smart,151,Java,positive
woo,87,Python,positive
capability,37,C++,positive
responsive,15,C#,positive
efficient,37,Java,positive
simplest,40,Python,positive
refinement,113,JavaScript,positive
pretty-print,29,JavaScript,positive
gtk-sharp,11,C,positive
classic,69,JavaScript,positive
stabilize,49,JavaScript,positive
smooth,133,C++,positive
feat(kabam,11,JavaScript,positive
consistently,104,C,positive
boom,21,Objective-C,positive
compatible,19,Shell,positive
sexy,41,Python,positive
unbound,18,JavaScript,positive
strong,18,Python,positive
grand,31,PHP,positive
rapport,25,Shell,positive
graceful,43,PHP,positive
handy,20,Java,positive
distinction,14,Java,positive
fluent,72,C#,positive
boost,87,JavaScript,positive
hopeful,16,Ruby,positive
boost::spirit,82,C++,positive
beautiful,24,C++,positive
fun????es,16,C,positive
optimal,28,Python,positive
secure,17,Shell,positive
optimal,27,JavaScript,positive
success,144,Python,positive
fun????o,56,PHP,positive
significant,31,C#,positive
re-work,58,C,positive
pure-ftpd,21,C,positive
personalized,37,Shell,positive
victory,19,C++,positive
strong,55,PHP,positive
better-looking,12,JavaScript,positive
successful,38,C#,positive
valor,14,Java,positive
thank,83,PHP,positive
shiny,19,PHP,positive
distinguished,11,Java,positive
thinner,16,Ruby,positive
sane,60,Shell,positive
freed,39,C,positive
transparent,105,PHP,positive
fair,25,JavaScript,positive
revolutionary,45,C++,positive
outstanding,21,JavaScript,positive
intelligent,22,Java,positive
super,50,Shell,positive
nicely,20,Ruby,positive
shiny,32,Python,positive
decent,33,Java,positive
prefer,36,Objective-C,positive
fav,68,Ruby,positive
eloquent,33,PHP,positive
silent,55,Java,positive
win/msi,11,JavaScript,positive
friendly,17,C++,positive
tidy-up,33,Python,positive
happy,131,Ruby,positive
faster,73,Objective-C,positive
thrift,46,Ruby,positive
meaningful,24,Python,positive
consistently,55,Java,positive
approve.js,27,JavaScript,positive
supporting,95,C++,positive
feat(rest,33,Java,positive
amazing,58,JavaScript,positive
fast,48,Objective-C,positive
auto-refresh,30,JavaScript,positive
re-work,41,Python,positive
gracefully,30,Objective-C,positive
backbone.js,20,PHP,positive
left/right,19,Java,positive
pure,88,Python,positive
leads,11,PHP,positive
glad,20,Python,positive
fine-tune,18,C++,positive
smoother,19,Objective-C,positive
hero,15,C,positive
pure,33,PHP,positive
promise.js,21,JavaScript,positive
sweet,14,Objective-C,positive
available,81,Ruby,positive
view-merch(classic,62,JavaScript,positive
premier,58,Ruby,positive
feat($sce,51,JavaScript,positive
prompt,25,Objective-C,positive
hopeful,55,JavaScript,positive
fancy,133,C,positive
won't,11,C#,positive
fine-tuning,29,Java,positive
incredibly,17,JavaScript,positive
convenience,91,Python,positive
classic-ui,20,C,positive
fav,17,Objective-C,positive
advanced,28,Shell,positive
win,29,PHP,positive
supports,83,C++,positive
lean,130,C,positive
significant,32,Shell,positive
lean,41,JavaScript,positive
optimal,22,Java,positive
pure,28,Shell,positive
helpful,31,PHP,positive
recommended,48,PHP,positive
feat(engine,20,Java,positive
fluent,33,Java,positive
treasure,25,Java,positive
happy,29,C#,positive
keen,14,Ruby,positive
redeem,16,JavaScript,positive
beauty,52,PHP,positive
thrift,28,Python,positive
ease,32,Python,positive
reasonably,12,Java,positive
perfect,17,Objective-C,positive
personalized,15,Java,positive
enrichment,12,Python,positive
harmonize,28,C,positive
welcome,77,Objective-C,positive
thinner,46,JavaScript,positive
virtio-win,14,C,positive
human-readable,14,JavaScript,positive
concise,14,Ruby,positive
fluent,48,JavaScript,positive
shiny,32,Ruby,positive
win,138,Python,positive
succeeded,26,Java,positive
gain,46,C++,positive
simplest,35,Java,positive
feat(linky,16,JavaScript,positive
win,104,C#,positive
graceful,75,Python,positive
stability,29,C#,positive
fine-tuning,68,JavaScript,positive
smile,16,Java,positive
victory,30,Python,positive
stability,68,JavaScript,positive
pep,32,C,positive
fond,27,JavaScript,positive
relaxed,41,C++,positive
smoother,70,Java,positive
cool,145,PHP,positive
confidence,23,Python,positive
fresh,30,C#,positive
refreshing,15,C++,positive
reasonable,13,Java,positive
compact,53,C,positive
fair,19,Python,positive
enhancement,44,C#,positive
unity,30,Objective-C,positive
sched/fair,20,C,positive
smoother,19,Ruby,positive
bonus,11,Objective-C,positive
clean-ups,19,C++,positive
simpler,51,Objective-C,positive
recover,34,Shell,positive
safe,86,C++,positive
incredibly,15,Python,positive
clearer,33,Objective-C,positive
progressive,40,JavaScript,positive
stronger,15,C++,positive
won't,18,Shell,positive
reconcile,41,C,positive
prize,12,PHP,positive
hero,63,Java,positive
qualify,43,C++,positive
pure,56,C++,positive
helpful,70,Ruby,positive
cure,15,Ruby,positive
relaxed,36,C,positive
sexy,64,Java,positive
efficient,23,Python,positive
agile,19,Shell,positive
convenient,24,Shell,positive
enjoy,15,Shell,positive
awards,20,Ruby,positive
sweeping,53,JavaScript,positive
successfully,108,PHP,positive
sweeping,17,Ruby,positive
passion,12,Shell,positive
ease,46,Ruby,positive
proves,11,Ruby,positive
beautify,146,Ruby,positive
hot,63,C,positive
helping,17,Python,positive
work-in-progress,43,C++,positive
polished,79,C,positive
miracle,12,Java,positive
qualify,19,JavaScript,positive
eager,42,JavaScript,positive
ease,48,JavaScript,positive
fairly,53,Java,positive
stable/0.1,101,C#,positive
stabilize,22,Ruby,positive
well,78,C#,positive
feat(ngdocs,88,JavaScript,positive
hot,28,Shell,positive
like,50,Objective-C,positive
balanced,35,Python,positive
stabilize,42,C,positive
nifty,34,Ruby,positive
classic,29,C++,positive
approval,41,Java,positive
stability,52,C++,positive
qualified,39,Ruby,positive
precise,25,Python,positive
enhanced,116,Objective-C,positive
smoother,41,PHP,positive
lighter,17,C,positive
fun????o,32,Java,positive
nice,46,Objective-C,positive
contribution,36,Java,positive
smoother,28,C,positive
purify,16,JavaScript,positive
safely,23,JavaScript,positive
awesome,97,C++,positive
clearly,57,JavaScript,positive
approval,41,Ruby,positive
resilient,37,Python,positive
clean-ups,12,JavaScript,positive
ideal,15,C++,positive
compatible,39,Objective-C,positive
favorite,78,Java,positive
helpful,28,Java,positive
pkgs/top-level/release-haskell.nix,24,Shell,positive
balanced,15,C#,positive
quicker,13,PHP,positive
recommend,22,Shell,positive
workable,18,C,positive
clearer,13,C#,positive
hopeful,16,C,positive
speedy,59,C++,positive
reliable,15,C,positive
feat(typeahead,27,JavaScript,positive
work-in-progress,27,C,positive
recovery.fstab,23,C++,positive
friendly,12,C,positive
pep'n,15,Python,positive
boom,31,C,positive
award,17,PHP,positive
fine-tune,25,Java,positive
work-around,30,PHP,positive
leads,21,JavaScript,positive
fancier,19,Shell,positive
compact,53,PHP,positive
awesomeness,15,C++,positive
solid,29,C,positive
enrich,30,Java,positive
handy,35,Ruby,positive
selective,15,C#,positive
unity-lens-video,69,Shell,positive
virtuous,12,C,positive
satisfy,32,Python,positive
classic,21,Python,positive
achievement,28,JavaScript,positive
x11-wm/enlightenment,51,C,positive
clarity,41,Shell,positive
tidy-up,33,JavaScript,positive
trust,22,Python,positive
cool,61,Shell,positive
proves,12,JavaScript,positive
backbone.sync,12,JavaScript,positive
silent,38,PHP,positive
logical,28,C++,positive
smoother,25,C#,positive
x11-themes/zukitwo-brave,19,Shell,positive
meaningful,19,Ruby,positive
successfully,54,C#,positive
clever,35,JavaScript,positive
usable,34,Python,positive
reform,25,Python,positive
compact,89,Python,positive
classic,40,Java,positive
magical,12,JavaScript,positive
likes,84,PHP,positive
finer,13,Shell,positive
passion,11,JavaScript,positive
favor,46,JavaScript,positive
rich,72,Python,positive
sweet,24,PHP,positive
effective,14,Java,positive
glorious,15,Java,positive
premier,31,Shell,positive
welcome,47,Shell,positive
intelligent,48,JavaScript,positive
available,11,C++,positive
padding-top,18,JavaScript,positive
welcome,80,C,positive
neat,41,JavaScript,positive
brighten,21,JavaScript,positive
realistic,14,Ruby,positive
helped,16,Java,positive
personalized,27,Python,positive
enhancement:added,18,PHP,positive
hot-fix,11,Java,positive
relief,19,Ruby,positive
delicious,30,PHP,positive
unbound,13,Python,positive
feat,40,Shell,positive
fun,41,Shell,positive
feat,15,C#,positive
feat(accordion,12,JavaScript,positive
flatter,11,JavaScript,positive
fun????es,11,Java,positive
enrich,20,Ruby,positive
sweet,70,Ruby,positive
feat(directive,32,JavaScript,positive
mobile-friendly,20,JavaScript,positive
harmony,21,JavaScript,positive
complemented,13,JavaScript,positive
supported,173,Ruby,positive
beautiful,57,Ruby,positive
contribution,95,JavaScript,positive
recovery.fstab,14,Shell,positive
fun,50,C#,positive
triumph.mk,15,C++,positive
tl.enchant.js,14,JavaScript,positive
boom,131,Python,positive
tough,14,JavaScript,positive
reclaim,18,Java,positive
empathy-roster-model,14,C,positive
case-sensitive,11,C++,positive
encourage,26,JavaScript,positive
re-work,70,C++,positive
calm,14,JavaScript,positive
selective,21,Python,positive
portable,26,C++,positive
fortune,15,Java,positive
winning,22,Python,positive
feat(config,41,JavaScript,positive
fine-tuning,22,Ruby,positive
hooray,17,PHP,positive
right-click,13,JavaScript,positive
pure,68,Java,positive
interesting,16,C,positive
guarantee,37,Java,positive
personalized,27,PHP,positive
sublime,28,C,positive
re-work,38,Java,positive
magic,25,Shell,positive
refinement,39,C++,positive
feat($location,52,JavaScript,positive
rectify,27,JavaScript,positive
colorful,11,PHP,positive
accurate,35,JavaScript,positive
flexible,52,C++,positive
readable,24,Ruby,positive
recommendation,27,JavaScript,positive
winner,33,Java,positive
usable,25,Java,positive
feat(modal,22,JavaScript,positive
feat(pagination,21,JavaScript,positive
feat(rating,11,JavaScript,positive
contribution,18,PHP,positive
solid,34,Java,positive
feat(scope,21,JavaScript,positive
winning,15,C#,positive
clears,12,Python,positive
boom,75,PHP,positive
kudos,21,JavaScript,positive
easy,118,Ruby,positive
breeze,22,Shell,positive
lovely,16,Ruby,positive
fine-tuned,15,C,positive
handy,46,JavaScript,positive
superior,21,Java,positive
love,11,C++,positive
fine-tuned,23,Ruby,positive
sweet,21,C,positive
fortune,15,Shell,positive
selective,21,C,positive
silent,52,Ruby,positive
fancier,60,JavaScript,positive
enhancement,69,Shell,positive
thrift-1615,16,C++,positive
refreshing,21,C,positive
useful,52,Shell,positive
easy,61,Shell,positive
won't,18,PHP,positive
modest,13,PHP,positive
bright,18,JavaScript,positive
super-droplets,27,C++,positive
impressive,11,JavaScript,positive
renewed,15,C++,positive
remedy,16,JavaScript,positive
fun????o,17,C,positive
adaptive,58,PHP,positive
enchant,17,JavaScript,positive
win/lose,14,JavaScript,positive
like/dislike,11,JavaScript,positive
revive,20,Ruby,positive
modest,13,JavaScript,positive
useful,62,C,positive
recommendation,33,Java,positive
thank,16,Shell,positive
magical,23,Java,positive
margin-top,34,JavaScript,positive
guidance,13,C,positive
encourage,43,Ruby,positive
refund,19,JavaScript,positive
ease,53,Java,positive
refreshed,23,Objective-C,positive
reconcile,21,Ruby,positive
selective,21,Ruby,positive
x-ua-compatible,14,JavaScript,positive
protect,51,Shell,positive
friendly,61,Python,positive
unity-webapps,12,Shell,positive
stronger,12,C#,positive
enjoy,25,JavaScript,positive
unity-scopes,12,Shell,positive
pep,29,C++,positive
stabilize,37,C++,positive
rectification,27,C#,positive
leads,20,Ruby,positive
commitment,20,JavaScript,positive
helpful,88,JavaScript,positive
unity-scope-video-remote,27,Shell,positive
grand,14,C,positive
satisfying,29,JavaScript,positive
selective,32,JavaScript,positive
soft,15,Shell,positive
handy,44,Python,positive
safely,13,PHP,positive
adjustable,20,C,positive
boost,85,Java,positive
clears,12,C++,positive
guarantee,27,C,positive
backbone.js,33,Ruby,positive
richer,16,Java,positive
unity-2d,19,Shell,positive
in-accurate,36,Java,positive
likes,14,Objective-C,positive
refund,28,Ruby,positive
rational,47,C++,positive
trust,20,PHP,positive
stronger,26,Ruby,positive
like/unlike,13,Ruby,positive
supports,24,Shell,positive
defeat,11,JavaScript,positive
clearly,17,C,positive
bravo,16,PHP,positive
clarity,16,C++,positive
refund,17,PHP,positive
swift,21,JavaScript,positive
privilege,27,Java,positive
grand,26,Java,positive
smart.json,23,JavaScript,positive
consistent,40,Objective-C,positive
encourage,17,Python,positive
balanced,13,C,positive
smile,13,Ruby,positive
passion,94,C,positive
perfect,17,Shell,positive
award,29,Ruby,positive
reform,14,Java,positive
glowing,12,JavaScript,positive
satisfied,11,Ruby,positive
swift,44,Java,positive
bonuses,15,Ruby,positive
work-ver,16,JavaScript,positive
appropriate,15,C,positive
love,51,Java,positive
unity-core,11,Shell,positive
enhances,11,C++,positive
clears,35,PHP,positive
woo,51,C,positive
compact,11,Shell,positive
popular,24,Python,positive
rectification,18,Ruby,positive
magic,26,Objective-C,positive
backbone,44,Java,positive
rapid,17,Java,positive
synaptics-led,17,Shell,positive
boom,17,Shell,positive
happier,15,JavaScript,positive
solid,35,Ruby,positive
gain,24,JavaScript,positive
gain,28,C,positive
brighter,15,Java,positive
protection,53,JavaScript,positive
glow,18,C,positive
font-awesome,14,Python,positive
sweet,27,Python,positive
complement,22,Python,positive
hooray,32,Ruby,positive
revive,33,C,positive
excel,45,C++,positive
enhancement,57,Objective-C,positive
outstanding,11,Python,positive
revive,11,PHP,positive
sane,32,C,positive
quicker,41,JavaScript,positive
bonus,55,C++,positive
refreshing,27,C#,positive
classic,26,Ruby,positive
winner,42,JavaScript,positive
hopeful,27,Java,positive
hero-unit,24,JavaScript,positive
intelligent,21,Python,positive
usable,19,Ruby,positive
enjoy,78,Python,positive
kudos,18,Ruby,positive
reformed,19,C++,positive
unbound,11,PHP,positive
accurate,14,Java,positive
eagerly,22,Java,positive
modest,13,Java,positive
contribution,30,Python,positive
pep,16,Java,positive
stability,22,Objective-C,positive
won't,58,JavaScript,positive
protection,37,Python,positive
patient,13,Objective-C,positive
boost,36,PHP,positive
feat(tooltip,29,JavaScript,positive
reputation,11,Ruby,positive
2.3-stable,12,Ruby,positive
gracefully,11,Shell,positive
sweet,15,Shell,positive
reconcile,32,Shell,positive
logical,21,C,positive
cute,31,JavaScript,positive
harmonize,29,Python,positive
dedicated,24,Python,positive
harmonize,33,Java,positive
victory,11,C#,positive
win,14,Objective-C,positive
easier,51,Shell,positive
work-in-progress,33,C#,positive
reclaim,26,C,positive
soft,72,PHP,positive
robust,51,Java,positive
variety,17,Java,positive
beautify,53,Shell,positive
quiet,50,PHP,positive
softer,22,JavaScript,positive
straightforward,21,Python,positive
comprehensive,15,Python,positive
convenient,26,Java,positive
bash/prompt,20,Shell,positive
secure,31,C,positive
succeed,14,Ruby,positive
accurate,13,Ruby,positive
favour,12,Ruby,positive
solid,12,Objective-C,positive
welcome#index,12,Ruby,positive
fine-grained,12,JavaScript,positive
qualify,26,Java,positive
convenience,22,PHP,positive
feat(rest,20,JavaScript,positive
unity-scope-gdocs,12,Shell,positive
convenient,13,C,positive
win/lose,16,Java,positive
favor,13,PHP,positive
quicker,16,Ruby,positive
classy,19,Java,positive
convenient,23,JavaScript,positive
cleanly,13,Java,positive
breeze,51,Java,positive
user-friendly,12,Java,positive
reward,46,JavaScript,positive
interests,16,Ruby,positive
